Unnamed: 0,price,mileage,year,previous_owners,doors,seats,fuel_type_Diesel Hybrid,fuel_type_Electric,fuel_type_Petrol,fuel_type_Petrol Hybrid,fuel_type_Petrol Plug-in Hybrid,body_type_Convertible,body_type_Coupe,body_type_Estate,body_type_Hatchback,body_type_MPV,body_type_Minibus,body_type_Pickup,body_type_SUV,body_type_Saloon,gearbox_Manual
151,999,111400,2007,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
152,10198,50028,2016,2.0,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
154,15900,62402,2019,1.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
155,1300,120000,2010,1.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
156,4250,95000,2006,2.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
157,2999,27682,2007,3.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
158,2495,89900,2007,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
159,2499,80742,2011,3.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
160,2394,55926,2008,3.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
161,1999,105000,2010,7.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
162,2495,132000,2004,2.0,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
163,3495,79000,2010,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
164,3995,89000,2008,4.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
165,3495,127000,2015,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
166,15900,62402,2019,1.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
168,9600,56984,2016,4.0,5.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
169,1839,103900,2009,4.0,5.0,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
170,2595,102000,2010,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
171,4700,95000,2011,7.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
172,2490,36600,2007,2.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
173,2449,88240,2012,2.0,5.0,7.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
174,990,130000,2006,1.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
175,1950,70345,2008,5.0,2.0,4.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
176,1390,97000,2011,3.0,5.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
177,3495,112000,2010,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
178,1490,49000,2004,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
179,2799,99061,2011,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
180,9198,78691,2018,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
182,10198,50028,2016,2.0,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
183,2350,89000,2010,6.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
184,1399,171000,2007,1.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
185,1189,125000,2005,2.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
186,3889,115000,2011,2.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
187,2599,99000,2007,1.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
188,2795,71000,2011,3.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
189,3995,70000,2009,2.0,2.0,5.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
190,2699,97500,2009,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
191,3999,36000,2014,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
192,2700,97385,2013,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
193,999,111400,2007,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
194,10198,50028,2016,2.0,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
196,10698,22782,2020,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
197,3250,66800,2013,1.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
198,2898,98979,2003,2.0,2.0,5.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
199,2950,98207,2007,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
200,1749,60000,2006,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
201,2495,101591,2010,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
202,3799,68000,2011,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
203,1100,164470,2006,3.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
204,2490,86000,2011,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
205,3250,90000,2010,2.0,5.0,5.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
206,3000,123000,2010,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
207,3495,127000,2015,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
208,10698,22782,2020,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
210,10198,50028,2016,2.0,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
211,2995,67361,2009,1.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
212,4495,116000,2009,3.0,5.0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
213,3750,99000,2010,3.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
214,2945,80997,2009,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
215,2889,100000,2009,2.0,5.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
216,995,110846,2005,3.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
217,3350,65000,2013,4.0,3.0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
218,2499,85578,2008,5.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
219,2100,77502,2012,5.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
220,1800,130500,2011,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
221,1299,87000,2008,5.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
222,10198,50028,2016,2.0,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
224,9149,55301,2016,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
225,2300,64000,2010,6.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
226,1500,96270,2008,9.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
227,1195,45000,2005,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
228,3250,78000,2011,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
229,5299,54000,2014,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
230,2250,49000,2005,2.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
231,2495,95000,2011,2.0,5.0,7.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
232,7699,58000,2015,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
233,1999,76850,2009,3.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
234,2299,99000,2009,4.0,5.0,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
235,2950,79000,2011,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
236,8975,86500,2017,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
238,15900,62402,2019,1.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
239,3450,147000,2016,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
240,4000,114121,2006,2.0,2.0,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
241,1899,82000,2009,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
242,3995,91000,2011,2.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
243,5799,69550,2016,2.0,3.0,5.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
244,2995,57400,1991,2.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
245,2000,138000,2008,6.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
246,2485,77720,2006,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
247,1995,84000,2008,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
248,2490,59042,2006,3.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
249,3495,127000,2015,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
250,9198,78691,2018,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
252,19800,69690,2019,1.0,4.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
253,1875,75043,1972,3.0,2.0,5.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
254,2745,120000,2014,2.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
255,1990,56817,2008,2.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
256,1650,85285,2009,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
257,2250,82000,2010,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
258,3795,87009,2009,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
259,5450,69756,2012,4.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
260,2600,234680,2011,1.0,5.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
261,2999,77708,2001,7.0,2.0,5.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
262,1990,68840,2011,4.0,5.0,5.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
263,798,140599,2008,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
264,19800,69690,2019,1.0,4.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
266,8975,86500,2017,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
267,2395,109000,2009,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
268,1789,119300,2002,2.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
